TextCodePK,n_sentences,n_tokens,Is_Explicit,N_Swear_Words_IT,N_Swear_Words_EN
TXT0590,88.0,723.0,,,
TXT0591,56.0,535.0,,,
TXT0592,42.0,397.0,,,
TXT0593,69.0,814.0,,,
TXT0594,38.0,365.0,,,
TXT0595,75.0,574.0,,,
TXT0596,73.0,575.0,,,
TXT0597,58.0,460.0,,,
TXT0598,55.0,481.0,,,
TXT0599,84.0,622.0,,,
TXT0600,81.0,823.0,,,
TXT0601,50.0,477.0,,,
TXT0602,84.0,781.0,,,
TXT0603,58.0,533.0,,,
TXT0604,51.0,434.0,,,
TXT0605,55.0,583.0,,,
TXT0606,107.0,770.0,,,
TXT0607,73.0,576.0,,,
TXT0608,50.0,517.0,,,
TXT0609,36.0,292.0,,,
TXT0610,75.0,786.0,,,
TXT0611,117.0,744.0,,,
TXT0612,78.0,554.0,,,
TXT0613,64.0,594.0,,,
TXT0614,57.0,542.0,,,
TXT0615,27.0,217.0,,,
TXT0616,62.0,563.0,,,
TXT0617,67.0,652.0,,,
TXT0618,76.0,501.0,,,
TXT0619,35.0,341.0,,,
TXT0620,49.0,483.0,,,
TXT0621,63.0,652.0,,,
TXT0622,60.0,555.0,,,
TXT0623,61.0,557.0,,,
TXT0624,71.0,632.0,,,
TXT0625,84.0,735.0,,,
TXT0626,122.0,890.0,,,
TXT0627,60.0,594.0,,,
TXT0628,99.0,422.0,,,
TXT0629,45.0,418.0,,,
TXT0630,79.0,588.0,,,
TXT0631,74.0,830.0,,,
TXT0632,58.0,525.0,,,
TXT0633,68.0,687.0,,,
TXT0634,60.0,533.0,,,
TXT0635,64.0,568.0,,,
TXT0636,61.0,683.0,,,
TXT0637,50.0,470.0,,,
TXT0638,70.0,405.0,,,
TXT0639,60.0,524.0,,,
TXT0640,58.0,557.0,,,
TXT0641,60.0,507.0,,,
TXT0642,1.0,8.0,,,
TXT0643,97.0,879.0,,,
TXT0644,40.0,380.0,,,
TXT0645,40.0,368.0,,,
TXT0646,1.0,4.0,,,
TXT0647,42.0,355.0,,,
TXT0648,47.0,485.0,,,
TXT0649,55.0,549.0,,,
TXT0650,41.0,367.0,,,
TXT0651,43.0,367.0,,,
TXT0652,66.0,516.0,,,
TXT0653,29.0,256.0,,,
TXT0654,34.0,319.0,,,
TXT0655,63.0,614.0,,,
TXT0656,51.0,475.0,,,
TXT0657,65.0,690.0,,,
TXT0658,44.0,389.0,,,
TXT0659,68.0,542.0,,,
TXT0660,42.0,369.0,,,
TXT0661,57.0,323.0,,,
TXT0662,39.0,389.0,,,
TXT0663,36.0,342.0,,,
TXT0664,35.0,313.0,,,
TXT0665,25.0,243.0,,,
TXT0666,43.0,434.0,,,
TXT0667,18.0,170.0,,,
TXT0668,38.0,331.0,,,
TXT0669,79.0,402.0,,,
TXT0670,49.0,454.0,,,
TXT0671,55.0,239.0,,,
TXT0672,24.0,185.0,,,
TXT0673,41.0,231.0,,,
TXT0674,79.0,384.0,,,
TXT0675,39.0,363.0,,,
TXT0676,33.0,310.0,,,
TXT0677,19.0,182.0,,,
TXT0678,38.0,363.0,,,
TXT0679,43.0,348.0,,,
TXT0680,20.0,198.0,,,
TXT0681,28.0,262.0,,,
TXT0682,33.0,231.0,,,
TXT0683,31.0,260.0,,,
TXT0684,223.0,1768.0,,,
TXT0685,16.0,250.0,,,
TXT0686,69.0,533.0,,,
TXT0687,34.0,465.0,,,
TXT0688,79.0,532.0,,,
TXT0689,70.0,611.0,,,
TXT0690,97.0,536.0,,,
TXT0691,18.0,535.0,,,
TXT0692,58.0,317.0,,,
TXT0693,55.0,292.0,,,
TXT0694,55.0,365.0,,,
TXT0695,22.0,242.0,,,
TXT0696,65.0,380.0,,,
TXT0697,126.0,613.0,,,
TXT0698,84.0,481.0,,,
TXT0699,49.0,408.0,,,
TXT0700,55.0,460.0,,,
TXT0701,83.0,705.0,,,
TXT0702,65.0,528.0,,,
TXT0703,29.0,227.0,,,
TXT0704,55.0,455.0,,,
TXT0705,79.0,536.0,,,
TXT0706,69.0,448.0,,,
TXT0707,45.0,339.0,,,
TXT0708,36.0,271.0,,,
TXT0709,47.0,325.0,,,
TXT0710,31.0,261.0,,,
TXT0711,75.0,789.0,,,
TXT0712,11.0,323.0,,,
TXT0713,26.0,382.0,,,
TXT0714,51.0,306.0,,,
TXT0715,40.0,371.0,,,
TXT0716,49.0,335.0,,,
TXT0717,47.0,448.0,,,
TXT0718,33.0,221.0,,,
TXT0719,8.0,195.0,,,
TXT0720,33.0,220.0,,,
TXT0721,53.0,324.0,,,
TXT0722,37.0,264.0,,,
TXT0723,76.0,491.0,,,
TXT0724,79.0,555.0,,,
TXT0725,13.0,264.0,,,
TXT0726,19.0,151.0,,,
TXT0727,19.0,252.0,,,
TXT0728,1.0,8.0,,,
TXT0729,39.0,342.0,,,
TXT0730,47.0,442.0,,,
TXT0731,58.0,442.0,,,
TXT0732,42.0,432.0,,,
TXT0733,13.0,272.0,,,
TXT0734,73.0,572.0,,,
TXT0735,73.0,520.0,,,
TXT0736,83.0,722.0,,,
TXT0737,47.0,293.0,,,
TXT0738,63.0,401.0,,,
TXT0739,52.0,406.0,,,
TXT0740,15.0,222.0,,,
TXT0741,65.0,314.0,,,
TXT0742,105.0,530.0,,,
TXT0743,23.0,265.0,,,
TXT0744,69.0,578.0,,,
TXT0745,51.0,348.0,,,
TXT0746,57.0,337.0,,,
TXT0747,42.0,303.0,,,
TXT0748,27.0,303.0,,,
TXT0749,68.0,506.0,,,
TXT0750,80.0,570.0,,,
TXT0751,50.0,367.0,,,
TXT0752,57.0,299.0,,,
TXT0753,52.0,388.0,,,
TXT0754,48.0,410.0,,,
TXT0755,28.0,235.0,,,
TXT0756,45.0,328.0,,,
TXT0757,45.0,354.0,,,
TXT0758,65.0,483.0,,,
TXT0759,3.0,5.0,,,
TXT0760,49.0,378.0,,,
TXT0761,43.0,352.0,,,
TXT0762,52.0,368.0,,,
TXT0763,70.0,552.0,,,
TXT0764,41.0,375.0,,,
TXT0765,99.0,992.0,,,
TXT0766,65.0,664.0,,,
TXT0767,40.0,447.0,,,
TXT0768,52.0,663.0,,,
TXT0769,49.0,502.0,,,
TXT0770,55.0,561.0,,,
TXT0771,53.0,609.0,,,
TXT0772,54.0,503.0,,,
TXT0773,59.0,763.0,,,
TXT0774,57.0,481.0,,,
TXT0775,67.0,671.0,,,
TXT0776,55.0,543.0,,,
TXT0777,56.0,528.0,,,
TXT0778,38.0,507.0,,,
TXT0779,75.0,626.0,,,
TXT0780,45.0,476.0,,,
TXT0781,51.0,482.0,,,
TXT0782,35.0,481.0,,,
TXT0783,37.0,322.0,,,
TXT0784,63.0,705.0,,,
TXT0785,58.0,595.0,,,
TXT0786,55.0,693.0,,,
TXT0787,62.0,435.0,,,
TXT0788,45.0,321.0,,,
TXT0789,36.0,301.0,,,
TXT0790,67.0,545.0,,,
TXT0791,53.0,477.0,,,
TXT0792,40.0,416.0,,,
TXT0793,56.0,714.0,,,
TXT0794,8.0,101.0,,,
TXT0795,54.0,522.0,,,
TXT0796,51.0,540.0,,,
TXT0797,59.0,567.0,,,
TXT0798,70.0,699.0,,,
TXT0799,50.0,543.0,,,
TXT0800,72.0,756.0,,,
TXT0801,61.0,648.0,,,
TXT0802,46.0,526.0,,,
TXT0803,69.0,549.0,,,
TXT0804,72.0,696.0,,,
TXT0805,78.0,620.0,,,
TXT0806,54.0,676.0,,,
TXT0807,64.0,581.0,,,
TXT0808,78.0,586.0,,,
