FeatureCodePK,FeaturedArtistName
928,TR355675,MV Killa
929,TR221394,
930,TR912221,
931,TR589213,
932,TR961600,
933,TR473965,
934,TR669364,Maruego
935,TR495708,Tony Effe
936,TR495708,Pyrex (ITA)
937,TR957588,
938,TR449642,
939,TR735916,Stadio
940,TR309212,Coez
941,TR721099,Alborosie
942,TR357440,Enzo Avitabile
943,TR182314,
944,TR613819,Laïoung
945,TR142062,Marracash
946,TR142062,Rkomi
947,TR644659,
948,TR794265,Noizy
949,TR484176,Elisa
950,TR647710,
951,TR614575,
952,TR526883,Crookers
953,TR554368,
954,TR762968,
955,TR239987,Akon
956,TR241223,Dutchavelli
957,TR721821,Geolier
958,TR922856,
959,TR480881,
960,TR298433,
961,TR617205,Jadakiss
962,TR502252,
963,TR900638,Vale Lambo
964,TR524391,
965,TR516718,
966,TR841644,Arlissa
967,TR803730,
968,TR225416,Mahmood
969,TR188319,
970,TR479850,
971,TR624032,Benny the Butcher
972,TR278549,Shiva
973,TR541162,Fabri Fibra
974,TR616250,
975,TR609719,
976,TR256934,
977,TR460194,
978,TR254009,Mahmood
979,TR488418,
980,TR824938,Big Boy Caprice
981,TR432394,Farid Bang
982,TR554191,Napoleone
983,TR554264,Rosario Miraggio
984,TR797776,
985,TR582034,El Micha
986,TR582034,Cosculluela
987,TR562617,Noyz Narcos
988,TR562617,Marracash
989,TR562617,Chicoria
990,TR742694,
991,TR308214,Ele A
992,TR542219,Ensi
993,TR542219,Ntò
994,TR542219,Entics
995,TR542219,Jake La Furia
996,TR542219,Marracash
997,TR542219,Nex Cassel
998,TR983581,Caneda
999,TR807159,Elodie
1000,TR125331,
1001,TR863199,Ernia
1002,TR580176,Willy William
1003,TR348171,
1004,TR938544,
1005,TR802113,
1006,TR265696,
1007,TR967662,Enzo Dong
1008,TR933903,
1009,TR335755,Frah Quintale
1010,TR125386,
1011,TR268658,Jake La Furia
1012,TR268658,Vincenzo da Via Anfossi
1013,TR791246,Zuli
1014,TR791246,Emis Killa
1015,TR791246,Vacca
1016,TR583962,
1017,TR124434,
1018,TR218997,Baby K
1019,TR944932,Entics
1020,TR293657,Il Profeta
1021,TR790229,Ntò
1022,TR218912,
1023,TR873662,
1024,TR136720,Zuli
1025,TR136720,Ensi
1026,TR254911,Ghali
1027,TR254911,Tony Effe
1028,TR424668,
1029,TR921543,
1030,TR530901,Fedez
1031,TR120740,
1032,TR986935,Clementino
1033,TR514260,
1034,TR973118,Ernia
1035,TR973118,Tormento
1036,TR353260,Big Boy Caprice
1037,TR353260,Tormento
1038,TR318534,
1039,TR193317,Duellz
1040,TR299448,Noyz Narcos
1041,TR528812,Jake La Furia
1042,TR963623,Julia Lenti
1043,TR725789,Slim Thug
1044,TR939819,Daniele Vit
1045,TR223685,
1046,TR206776,Fedez
1047,TR521466,Vincenzo da Via Anfossi
1048,TR521466,Montenero
1049,TR319879,Emis Killa
1050,TR513866,Salmo
1051,TR583699,Marracash
1052,TR583699,Kleane
1053,TR777316,
1054,TR853786,
1055,TR432902,Kurdo
1056,TR432902,Majoe
1057,TR706576,Red Cafe
1058,TR522271,Nerissima Serpe
1059,TR522271,Papa V
1060,TR649101,Marracash
1061,TR649101,Vincenzo da Via Anfossi
1062,TR114652,
1063,TR794558,Ensi
1064,TR876119,
1065,TR400695,
1066,TR163092,Tony Effe
1067,TR477970,
1068,TR761094,
1069,TR752180,Tony Boy
1070,TR624479,Marracash
1071,TR624479,Izio Sklero
1072,TR930466,
1073,TR827090,Peppino Di Capri
1074,TR767130,Nex Cassel
1075,TR918527,Ghali
1076,TR918527,Ernia
1077,TR438282,
1078,TR323420,Ntò
1079,TR323420,Jake La Furia
1080,TR816419,Zuli
1081,TR287981,
1082,TR164901,
1083,TR397794,
1084,TR847376,J-Ax
1085,TR490311,
1086,TR704708,Aban
1087,TR704708,Jake La Furia
1088,TR321989,Babaman
1089,TR834470,Noyz Narcos
1090,TR834470,Duke Montana
1091,TR903244,Nex Cassel
1092,TR137501,
1093,TR499413,Vincenzo da Via Anfossi
1094,TR499413,Marracash
1095,TR499413,Jake La Furia
1096,TR687977,Royal Mehdi
1097,TR767308,
1098,TR994787,Sgarra
1099,TR262429,
1100,TR120889,
1101,TR236676,
1102,TR817794,
1103,TR137880,Caneda
1104,TR647101,
1105,TR940582,
1106,TR123335,Gemitaiz
1107,TR646778,
1108,TR176901,Bassi Maestro
1109,TR176901,Jack The Smoker
1110,TR904470,Jack The Smoker
1111,TR160759,
1112,TR204974,Vincenzo da Via Anfossi
1113,TR204974,Marracash
1114,TR556991,Terron Fabio
1115,TR577588,
1116,TR991898,Marracash
1117,TR616549,
1118,TR936433,Emis Killa
1119,TR962058,
1120,TR391199,Pronto
1121,TR167825,
1122,TR649360,
1123,TR224974,
1124,TR817689,Ted Bee
1125,TR817689,Montenero
1126,TR839122,T-Mez
1127,TR727577,Vacca
1128,TR727577,Daniele Vit
1129,TR453783,Inoki
1130,TR940221,Duellz
1131,TR546696,Entics
1132,TR546696,Ensi
1133,TR546696,Ntò
1134,TR546696,Marracash
1135,TR546696,Jake La Furia
1136,TR546696,Nex Cassel
1137,TR772974,
1138,TR369509,Caneda
1139,TR597620,
1140,TR528565,Tek Money
1141,TR702417,Mutoidz
1142,TR695938,Rischio
1143,TR695938,Royal Mehdi
1144,TR407477,
1145,TR675917,
1146,TR922105,FatFatCorfunk
1147,TR840393,Reverendo
1148,TR711782,Entics
1149,TR495490,G-Max
1150,TR655499,
1151,TR932236,Chief (ITA)
1152,TR774326,Tormento
1153,TR276207,
1154,TR467937,Aban
1155,TR351355,Montenero
1156,TR867158,Royal Mehdi
1157,TR867158,Rischio
1158,TR867158,Ask?
1159,TR483016,Marracash
1160,TR113983,Ted Bee
1161,TR113983,FatFatCorfunk
1162,TR789022,Amir Issaa
1163,TR789022,Santo Trafficante
1164,TR789022,Don Joe
1165,TR739709,Esa
1166,TR916084,Duellz
1167,TR410200,Fuossera
1168,TR410200,Co’Sang
1169,TR906035,Vincenzo da Via Anfossi
1170,TR277780,
1171,TR738385,Jack Jaselli
1172,TR251170,Gora (ESP)
1173,TR251170,Rischio
1174,TR853747,
1175,TR343548,Montenero
1176,TR343548,Sgarra
1177,TR971606,Marracash
1178,TR669406,
1179,TR290155,
1180,TR440724,Killa Mazi
1181,TR440724,Gionni Grano
1182,TR440724,Nex Cassel
1183,TR285073,Tommy Poldo
1184,TR842497,Karkadan
1185,TR256891,Entics
1186,TR836701,
1187,TR679925,
1188,TR692716,
1189,TR966930,
1190,TR202440,
1191,TR857342,
1192,TR972151,Ensi
1193,TR270849,
1194,TR781750,Marracash
