TextCodePK,N_Sentences,N_Tokens,Char_Per_Tok,Avg_Token_Per_Clause,Is_Explicit
265,2.0,28.0,5.1666666667,9.3333333333,0
266,31.0,266.0,3.8269230769,19.0,1
267,24.0,185.0,3.9333333333,6.8518518519,1
268,43.0,414.0,4.0181818182,6.9,1
269,81.0,611.0,3.6995708155,9.2575757576,1
270,12.0,112.0,4.2417582418,5.8947368421,1
271,50.0,408.0,3.7485714286,5.6666666667,0
272,24.0,209.0,4.161849711,5.6486486486,0
273,1.0,20.0,5.0588235294,10.0,0
274,33.0,244.0,3.8009259259,5.9512195122,1
275,29.0,193.0,3.8011363636,7.4230769231,0
276,18.0,104.0,3.5882352941,6.9333333333,0
277,25.0,390.0,3.8829113924,7.6470588235,1
278,1.0,27.0,5.0454545455,27.0,0
279,31.0,142.0,4.9191919192,3.55,0
280,1.0,4.0,7.5,0.0,0
281,21.0,94.0,3.7692307692,23.5,0
282,6.0,57.0,3.9607843137,8.1428571429,1
283,80.0,705.0,3.7985347985,9.6575342466,1
284,12.0,106.0,3.4680851064,6.625,0
285,45.0,467.0,3.600536193,6.768115942,1
286,1.0,18.0,5.4,9.0,0
287,43.0,446.0,3.824742268,5.1264367816,1
288,1.0,25.0,5.380952381,12.5,0
289,1.0,18.0,5.8,9.0,0
290,29.0,286.0,3.7794117647,8.9375,1
291,3.0,34.0,4.0,17.0,0
292,15.0,113.0,3.8571428571,6.6470588235,1
293,51.0,576.0,3.200477327,14.4,1
294,26.0,226.0,4.1445086705,9.04,1
295,30.0,332.0,3.8125,8.3,1
296,1.0,19.0,5.7333333333,9.5,0
297,39.0,407.0,3.813559322,5.2179487179,1
298,15.0,105.0,3.7582417582,6.1764705882,0
299,31.0,217.0,3.6084656085,6.5757575758,0
300,36.0,235.0,3.7515151515,6.1842105263,0
301,9.0,46.0,3.8205128205,6.5714285714,0
302,14.0,141.0,3.488372093,35.25,0
303,13.0,109.0,4.2637362637,9.9090909091,0
304,12.0,59.0,3.6379310345,5.3636363636,0
305,53.0,704.0,3.8195211786,13.037037037,1
306,60.0,536.0,3.9295454545,7.0526315789,1
307,47.0,485.0,4.0702576112,7.2388059701,1
308,37.0,271.0,3.9194915254,6.4523809524,0
309,55.0,573.0,4.0022123894,10.4181818182,0
310,59.0,630.0,4.0847457627,8.5135135135,1
311,53.0,650.0,3.9678800857,10.8333333333,0
312,49.0,573.0,3.8964059197,7.5394736842,1
313,60.0,578.0,3.8814317673,11.3333333333,1
314,53.0,500.0,4.00486618,8.4745762712,1
315,52.0,534.0,3.535483871,6.3571428571,0
316,45.0,421.0,4.1340782123,8.0961538462,1
317,58.0,561.0,3.8477272727,9.1967213115,1
318,52.0,460.0,4.0077720207,7.9310344828,1
319,50.0,523.0,3.9865771812,6.5375,1
320,49.0,617.0,4.0263788969,11.0178571429,1
321,63.0,730.0,3.911971831,10.1388888889,1
322,47.0,470.0,4.0895140665,9.7916666667,1
323,28.0,286.0,4.1910569106,8.6666666667,1
324,52.0,495.0,3.6247086247,8.1147540984,0
325,44.0,671.0,3.6958250497,10.1666666667,1
326,56.0,467.0,3.7850241546,5.9871794872,1
327,61.0,551.0,3.661971831,9.5,1
328,52.0,398.0,4.0523255814,8.2916666667,1
329,47.0,527.0,4.1118012422,4.6228070175,1
330,70.0,685.0,3.9442508711,7.2872340426,1
331,51.0,548.0,3.8789954338,7.1168831169,1
332,76.0,539.0,4.1666666667,6.125,0
333,67.0,684.0,4.0406779661,6.5142857143,1
334,64.0,619.0,4.0811403509,10.1475409836,1
335,60.0,647.0,3.8752475248,8.5131578947,0
336,67.0,594.0,3.8661087866,8.027027027,1
337,59.0,611.0,3.9356846473,11.75,1
338,57.0,520.0,3.8833333333,6.8421052632,1
339,62.0,613.0,3.90562249,8.397260274,1
340,68.0,680.0,3.9422442244,6.4150943396,1
341,66.0,745.0,3.8616600791,11.2878787879,0
342,53.0,420.0,3.9402173913,5.8333333333,0
343,44.0,444.0,4.0458221024,8.0727272727,0
344,59.0,519.0,3.8399014778,8.2380952381,1
345,91.0,654.0,4.0154905336,5.6379310345,0
346,58.0,500.0,3.9298642534,7.5757575758,1
347,56.0,593.0,3.8871681416,6.7386363636,1
348,91.0,825.0,3.8653846154,8.0097087379,1
349,36.0,405.0,3.825974026,5.0625,0
350,53.0,488.0,4.0541871921,7.1764705882,1
351,55.0,540.0,3.8028169014,6.5060240964,1
352,59.0,615.0,4.1597744361,6.0294117647,1
353,72.0,784.0,3.5326633166,10.7397260274,1
354,53.0,412.0,3.9545454545,5.2151898734,0
355,56.0,537.0,3.8344519016,9.5892857143,1
356,67.0,654.0,3.8353982301,7.7857142857,1
357,74.0,636.0,4.3410404624,7.756097561,1
