TextCodePK,n_sentences,n_tokens,Is_Explicit,N_Swear_Words_IT,N_Swear_Words_EN,Lyrics
697,126.0,613.0,,,,
698,84.0,481.0,,,,
699,49.0,408.0,,,,
700,55.0,460.0,,,,
701,83.0,705.0,,,,
702,65.0,528.0,,,,
703,29.0,227.0,,,,
704,55.0,455.0,,,,
705,79.0,536.0,,,,
706,69.0,448.0,,,,
707,45.0,339.0,,,,
708,36.0,271.0,,,,
709,47.0,325.0,,,,
710,31.0,261.0,,,,
711,75.0,789.0,,,,
712,11.0,323.0,,,,
713,26.0,382.0,,,,
714,51.0,306.0,,,,
715,40.0,371.0,,,,
716,49.0,335.0,,,,
717,47.0,448.0,,,,
718,33.0,221.0,,,,
719,8.0,195.0,,,,
720,33.0,220.0,,,,
721,53.0,324.0,,,,
722,37.0,264.0,,,,
723,76.0,491.0,,,,
724,79.0,555.0,,,,
725,13.0,264.0,,,,
726,19.0,151.0,,,,
727,19.0,252.0,,,,
728,1.0,8.0,,,,
729,39.0,342.0,,,,
730,47.0,442.0,,,,
731,58.0,442.0,,,,
732,42.0,432.0,,,,
733,13.0,272.0,,,,
734,73.0,572.0,,,,
735,73.0,520.0,,,,
736,83.0,722.0,,,,
737,47.0,293.0,,,,
738,63.0,401.0,,,,
739,52.0,406.0,,,,
740,15.0,222.0,,,,
741,65.0,314.0,,,,
742,105.0,530.0,,,,
743,23.0,265.0,,,,
744,69.0,578.0,,,,
745,51.0,348.0,,,,
746,57.0,337.0,,,,
747,42.0,303.0,,,,
748,27.0,303.0,,,,
749,68.0,506.0,,,,
750,80.0,570.0,,,,
751,50.0,367.0,,,,
752,57.0,299.0,,,,
753,52.0,388.0,,,,
754,48.0,410.0,,,,
755,28.0,235.0,,,,
756,45.0,328.0,,,,
757,45.0,354.0,,,,
758,65.0,483.0,,,,
759,3.0,5.0,,,,
760,49.0,378.0,,,,
761,43.0,352.0,,,,
762,52.0,368.0,,,,
763,70.0,552.0,,,,
764,41.0,375.0,,,,
765,99.0,992.0,,,,
766,65.0,664.0,,,,
767,40.0,447.0,,,,
768,52.0,663.0,,,,
769,49.0,502.0,,,,
770,55.0,561.0,,,,
771,53.0,609.0,,,,
772,54.0,503.0,,,,
773,59.0,763.0,,,,
774,57.0,481.0,,,,
775,67.0,671.0,,,,
776,55.0,543.0,,,,
777,56.0,528.0,,,,
778,38.0,507.0,,,,
779,75.0,626.0,,,,
780,45.0,476.0,,,,
781,51.0,482.0,,,,
782,35.0,481.0,,,,
783,37.0,322.0,,,,
784,63.0,705.0,,,,
785,58.0,595.0,,,,
786,55.0,693.0,,,,
787,62.0,435.0,,,,
788,45.0,321.0,,,,
789,36.0,301.0,,,,
790,67.0,545.0,,,,
791,53.0,477.0,,,,
792,40.0,416.0,,,,
793,56.0,714.0,,,,
794,8.0,101.0,,,,
795,54.0,522.0,,,,
796,51.0,540.0,,,,
797,59.0,567.0,,,,
798,70.0,699.0,,,,
799,50.0,543.0,,,,
800,72.0,756.0,,,,
801,61.0,648.0,,,,
